Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
2018-08-22 15:33:18+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1594,2018-08-22 15:33:18+00:00
2018-08-22 15:33:18+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0594,2018-08-22 15:33:18+00:00
2018-08-22 13:02:48+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1578,2018-08-22 13:02:48+00:00
2018-08-22 13:02:48+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0578,2018-08-22 13:02:48+00:00
2018-08-22 02:44:24+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-22 02:44:24+00:00
2018-08-22 02:44:24+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-22 02:44:24+00:00
2018-08-21 21:28:35+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-21 21:28:35+00:00
2018-08-21 21:28:35+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-21 21:28:35+00:00
2018-08-21 21:28:35+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-21 21:28:35+00:00
2018-08-21 15:32:54+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1594,2018-08-21 15:32:54+00:00
2018-08-21 15:32:54+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0594,2018-08-21 15:32:54+00:00
2018-08-21 13:02:34+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1578,2018-08-21 13:02:34+00:00
2018-08-21 13:02:34+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0578,2018-08-21 13:02:34+00:00
2018-08-21 02:44:15+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-21 02:44:15+00:00
2018-08-21 02:44:15+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-21 02:44:15+00:00
2018-08-21 02:10:38+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1579,2018-08-21 02:10:38+00:00
2018-08-21 02:10:38+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0579,2018-08-21 02:10:38+00:00
2018-08-20 21:46:39+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-08-20 21:46:39+00:00
2018-08-20 21:46:39+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-08-20 21:46:39+00:00
2018-08-20 21:28:12+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-20 21:28:12+00:00
2018-08-20 21:28:12+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-20 21:28:12+00:00
2018-08-20 21:28:12+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-20 21:28:12+00:00
2018-08-20 19:55:44+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1578,2018-08-20 19:55:44+00:00
2018-08-20 19:55:44+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0578,2018-08-20 19:55:44+00:00
2018-08-20 15:03:09+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1575,2018-08-20 15:03:09+00:00
2018-08-20 15:03:09+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0575,2018-08-20 15:03:09+00:00
2018-08-20 07:10:21+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1579,2018-08-20 07:10:21+00:00
2018-08-20 07:10:21+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0579,2018-08-20 07:10:21+00:00
2018-08-19 22:14:31+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-19 22:14:31+00:00
2018-08-19 22:14:31+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-19 22:14:31+00:00
2018-08-19 21:46:38+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-08-19 21:46:38+00:00
2018-08-19 21:46:38+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-08-19 21:46:38+00:00
2018-08-19 21:27:33+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-19 21:27:33+00:00
2018-08-19 21:27:33+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-19 21:27:33+00:00
2018-08-19 21:27:33+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-19 21:27:33+00:00
2018-08-19 18:54:18+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1592,2018-08-19 18:54:18+00:00
2018-08-19 18:54:18+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0592,2018-08-19 18:54:18+00:00
2018-08-19 07:09:30+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1579,2018-08-19 07:09:30+00:00
2018-08-19 07:09:30+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0579,2018-08-19 07:09:30+00:00
2018-08-18 22:14:31+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-18 22:14:31+00:00
2018-08-18 22:14:31+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0576,2018-08-18 22:14:31+00:00
2018-08-18 21:27:29+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-18 21:27:29+00:00
2018-08-18 21:27:29+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-18 21:27:29+00:00
2018-08-18 21:27:29+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-18 21:27:29+00:00
2018-08-18 18:53:59+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1592,2018-08-18 18:53:59+00:00
2018-08-18 18:53:59+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0592,2018-08-18 18:53:59+00:00
2018-08-18 18:48:24+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.158,2018-08-18 18:48:24+00:00
2018-08-18 18:48:24+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.058,2018-08-18 18:48:24+00:00
2018-08-18 11:22:50+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1591,2018-08-18 11:22:50+00:00
2018-08-18 11:22:50+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0591,2018-08-18 11:22:50+00:00
2018-08-18 05:57:07+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1577,2018-08-18 05:57:07+00:00
2018-08-18 05:57:07+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0577,2018-08-18 05:57:07+00:00
2018-08-18 04:50:06+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1592,2018-08-18 04:50:06+00:00
2018-08-18 04:50:06+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0592,2018-08-18 04:50:06+00:00
2018-08-17 21:27:00+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-17 21:27:00+00:00
2018-08-17 21:27:00+00:00,us-west-2a,c3.xlarge,Windows,0.2228,2018-08-17 21:27:00+00:00
2018-08-17 21:27:00+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-17 21:27:00+00:00
2018-08-17 21:26:51+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1576,2018-08-17 21:26:51+00:00
